,last_scraped,host_name,host_since,host_location,host_response_time,host_is_superhost,host_has_profile_pic,host_identity_verified,property_type,room_type,bathrooms_text,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,id,host_id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,18/09/2024,Frank,03/12/2008,"Massachusetts, United States",within a day,t,t,f,Entire rental unit,Entire home/apt,1 bath,t,18/09/2024,10/07/2015,09/08/2024,STR-490093,f,3781.0,4804,1,1.0,2.0,6.0,2.0,1.0,1.0,1.0,$125.00,29.0,1125,29.0,29.0,1125,1125.0,29.0,1125.0,0,0,26,2,0.0,4.96,5.0,4.96,5.0,4.85,1.0,0.0,0,0.23
1,18/09/2024,Terry,19/02/2009,"Boston, MA",within an hour,t,t,t,Entire guest suite,Entire home/apt,1 bath,t,18/09/2024,21/03/2009,29/08/2024,STR-490093,f,5506.0,8229,1,0.99,11.0,14.0,2.0,1.0,1.0,1.0,$142.00,3.0,90,1.0,3.0,1125,1125.0,3.0,1125.0,1,50,128,9,2.0,4.8,4.88,4.9,4.95,4.57,10.0,0.0,0,0.68
2,18/09/2024,Terry,19/02/2009,"Boston, MA",within an hour,t,t,t,Entire condo,Entire home/apt,1 bath,t,18/09/2024,06/08/2009,18/08/2024,STR-491702,f,6695.0,8229,1,0.99,11.0,14.0,4.0,1.0,0.0,2.0,$171.00,3.0,730,1.0,3.0,730,730.0,3.0,730.0,0,43,21,7,0.0,4.81,4.82,4.87,4.9,4.52,10.0,0.0,0,0.72
3,18/09/2024,Anne,22/07/2009,"Boston, MA",within a few hours,t,t,t,Entire rental unit,Entire home/apt,1 bath,t,18/09/2024,12/08/2014,15/05/2024,STR-454024,f,8789.0,26988,1,1.0,8.0,32.0,2.0,1.0,1.0,2.0,$125.00,14.2,365,13.3,91.0,365,365.0,15.0,365.0,0,0,29,2,0.0,4.69,4.69,4.55,4.93,4.97,4.0,0.0,0,0.24
4,18/09/2024,Michelle,16/09/2009,"Boston, MA",within a few hours,f,t,t,Entire rental unit,Entire home/apt,1 bath,t,18/09/2024,09/01/2016,22/07/2019,STR-454024,f,10811.0,38997,1,1.0,22.0,29.0,3.0,1.0,0.0,1.0,$130.00,14.2,1125,13.3,91.0,1125,1125.0,15.0,1125.0,0,42,9,0,0.0,4.33,4.44,4.67,4.9,5.0,13.0,0.0,0,0.09
5,18/09/2024,Michelle,16/09/2009,"Boston, MA",within a few hours,f,t,t,Entire rental unit,Entire home/apt,1 bath,t,18/09/2024,17/03/2019,19/11/2023,STR-454024,f,10813.0,38997,1,1.0,22.0,29.0,2.0,1.0,0.0,1.0,$117.00,32.0,1125,32.0,32.0,1125,1125.0,32.0,1125.0,1,49,5,1,0.0,5.0,5.0,4.8,5.0,5.0,13.0,0.0,0,0.07
6,18/09/2024,Michelle,16/09/2009,"Boston, MA",within a few hours,f,t,t,Entire condo,Entire home/apt,1 bath,t,18/09/2024,05/01/2024,05/01/2024,STR-454024,f,10986.0,38997,1,1.0,22.0,29.0,2.0,1.0,0.0,1.0,$130.00,32.0,1125,30.0,32.0,1125,1125.0,31.9,1125.0,0,41,1,1,0.0,4.8,5.0,4.8,4.9,5.0,13.0,0.0,0,0.12
7,18/09/2024,Lance,19/01/2010,"Boston, MA",within an hour,f,t,t,Entire rental unit,Entire home/apt,1 bath,t,18/09/2024,12/05/2010,19/08/2023,STR-454024,t,18711.0,71783,1,0.98,30.0,68.0,7.0,1.0,3.0,3.0,$143.00,30.0,1125,30.0,30.0,1125,1125.0,30.0,1125.0,0,17,52,0,0.0,4.31,4.5,4.71,4.9,4.24,14.0,0.8,0,0.3
8,18/09/2024,Elizabeth,19/05/2010,"Boston, MA",within an hour,f,t,t,Entire rental unit,Entire home/apt,1 bath,t,18/09/2024,24/05/2010,13/09/2023,STR-454024,f,29765.0,128280,1,0.9,1.0,4.0,2.0,1.2,1.0,1.0,$213.00,2.0,28,2.0,2.0,28,28.0,2.0,28.0,0,0,101,0,0.0,4.97,4.96,4.97,5.0,4.8,1.0,0.0,0,0.58
9,18/09/2024,Robert,20/07/2010,"Boston, MA",within a few hours,t,t,t,Private room in home,Private room,1.5 baths,t,18/09/2024,27/08/2010,10/08/2024,STR-551851,f,40601.0,174986,1,1.0,1.0,1.0,2.0,1.5,1.0,1.0,$102.00,29.0,120,18.0,29.0,120,120.0,28.0,120.0,17,21,100,5,0.0,4.98,4.95,5.0,4.97,4.93,0.0,1.0,0,0.58
10,18/09/2024,Atef,18/08/2010,"Boston, MA",within an hour,t,t,t,Entire rental unit,Entire home/apt,1 bath,t,18/09/2024,23/08/2010,09/08/2024,STR-409822,f,45987.0,205107,1,1.0,1.0,3.0,3.0,1.0,1.0,1.0,$100.00,29.0,1125,29.0,29.0,1125,1125.0,29.0,1125.0,10,43,21,3,0.0,4.66,4.68,4.76,4.75,4.82,1.0,0.0,0,0.82
